scope,series_type,label,adds,removes,net_apps,total_moves,sample_apps
all-games,raw-tag,Gore,3,4,-1,7,"Law of Demons, Yurei: Ink of the Damned, Azazel Gamble 阿撒兹勒赌局"
all-games,raw-tag,Point & Click,4,3,1,7,"Hope in the City, Smoking Gun, Terrafactory: Idle Planet"
all-games,raw-tag,Top-Down Shooter,3,4,-1,7,"Strik9: Rhythm Rat Rampage, ChessBoyChess, Super Chaos"
all-games,raw-tag,Vehicular Combat,3,4,-1,7,"Extreme Forklifting 3, FULL METAL COFFIN, Hyperlane Highway"
all-games,raw-tag,Music,6,0,6,6,"PomoTrain: Rabbit Town, Dogwood, Kaz"
all-games,raw-tag,2.5D,5,1,4,6,"Highrise: Avatar & Social World, Cantarella: Dominion of Qualia, Loot Goblin"
all-games,raw-tag,Arena Shooter,5,1,4,6,"Super Chaos, Sphere Fight, Bamboozle"
all-games,raw-tag,Creature Collector,5,1,4,6,"Chippu, TCG Card Shop Simulator, The Wide Open Sky is Running out of Catfish"
all-games,raw-tag,Deckbuilding,5,1,4,6,"Valefor 2, Bones and Coins, STAB!"
all-games,raw-tag,Mature,5,1,4,6,"被击垮而堕落的强气人妻, Blacksad: Under the Skin, Deadset Darling"
all-games,raw-tag,1980s,4,2,2,6,"An Odd Walk: Shinjuku Alley, BROTANK, MergePiece: Merge pixels into masterpieces"
all-games,raw-tag,Agriculture,2,4,-2,6,"Souls of the Dead, My Heaven's Dale, Raccoon Valley Tycoon"
all-games,raw-tag,Dating Sim,4,2,2,6,"Machine Child, I Opened an Idle Bar So I Can GOON to HOT GIRLS, Lust's Cupid"
all-games,raw-tag,Psychological,4,2,2,6,"Hope in the City, INDOORS, Chaosfall"
all-games,raw-tag,Robots,2,4,-2,6,"Rogue Mech, Bamboozle, Biocybernetic Trap"
all-games,raw-tag,Science,2,4,-2,6,"FULL METAL COFFIN, Neolithic Dawn, Drop Not Allowed"
all-games,raw-tag,Time Management,4,2,2,6,"IT Solutions, PomoTrain: Rabbit Town, Machine Child"
all-games,raw-tag,Tower Defense,4,2,2,6,"Siege of Acres, Crown of Greed, X Space"
all-games,raw-tag,Trading,2,4,-2,6,"Aquanima, Glenwich Idle MMO, Highrise: Avatar & Social World"
all-games,raw-tag,Wholesome,4,2,2,6,"Kingdomino, Professional Cats, My Heaven's Dale"
all-games,raw-tag,Historical,3,3,0,6,"Caribbean Tide, Settle, 郑成功传 Clash of Armadas: Koxinga"
all-games,raw-tag,Parkour,3,3,0,6,"Super Serious Golf, Beat For Speed, Flipping is Hard"
all-games,raw-tag,Psychedelic,3,3,0,6,"The Assessment, DopeNet, Super Chaos"
all-games,raw-tag,Soundtrack,3,3,0,6,"成为皇帝！我的万亿美女星球帝国, PomoTrain: Rabbit Town, Getting Stronger"
all-games,raw-tag,Automation,4,1,3,5,"Machine Mind, Drop Not Allowed, Pathways & Poltergeists"
all-games,raw-tag,Bullet Time,4,1,3,5,"Hyperlane Highway, LEAF, Kleopatra"
all-games,raw-tag,Competitive,4,1,3,5,"Drag Racing 3D: Streets 2, Out of the Park Baseball 27, Penguin Pirates"
all-games,raw-tag,Gun Customization,1,4,-3,5,"Chop Chains, Responding, Sphere Fight"
all-games,raw-tag,Immersive,4,1,3,5,"Kingdomino, Desserted, We need a doorman."
all-games,raw-tag,Massively Multiplayer,4,1,3,5,"Madnessarum, Glenwich Idle MMO, KeepUp Survival"
all-games,raw-tag,Roguelike Deckbuilder,4,1,3,5,"Dicebinder, Valefor 2, Monster Tavern"
all-games,raw-tag,Shop Keeper,4,1,3,5,"Plucked Up, Growth, Clerks and Quirks"
all-games,raw-tag,Tabletop,1,4,-3,5,"Puzzle Car, Snooker Billiard, Coin Pusher Casino"
all-games,raw-tag,Team-Based,1,4,-3,5,"Hello World, Stick N' Sheep, Fine Dying"
all-games,raw-tag,Cats,3,2,1,5,"My NEET Life, Habitat Toxica, Blacksad: Under the Skin"
all-games,raw-tag,Noir,3,2,1,5,"Kleopatra, Drop Not Allowed, Kaz"
all-games,raw-tag,Pirates,3,2,1,5,"郑成功传 Clash of Armadas: Koxinga, Penguin Pirates, Cosmic Gold Rush"
all-games,raw-tag,Political,3,2,1,5,"Alder Forge 2, The Three Kingdoms of Shadows: Xuzhou, The King's Magic"
all-games,raw-tag,Political Sim,2,3,-1,5,"Second Chance at a Billion, Deductopia Demo, Microlandia"
all-games,raw-tag,Post-apocalyptic,3,2,1,5,"All Roads Connected, Sicarius, Waste Runner: Critical Waste"
all-games,raw-tag,Real Time Tactics,2,3,-1,5,"戚继光 Qi Jiguang: Art of War, 郑成功传 Clash of Armadas: Koxinga, Ashes of the Singularity II"
all-games,raw-tag,Sports,2,3,-1,5,"Gladiatory, CarX Drift Racing Online, BIG BALLS"
all-games,raw-tag,Tactical RPG,3,2,1,5,"Dark Age Dinos, Siege of Acres, Gladiatory"
all-games,raw-tag,Turn-Based,3,2,1,5,"Virtualord, The Virtual Conqueror, KPOP SCOUT, The Curse of Feldar Vale"
all-games,raw-tag,VR,2,3,-1,5,"Hyperlane Highway, IT Solutions, [ABERRATION] THE ANALYST"
all-games,raw-tag,Wargame,2,3,-1,5,"戚继光 Qi Jiguang: Art of War, Crown of Greed, 热血屠龙"
all-games,raw-tag,Crime,4,0,4,4,"DopeNet, Speakeasy Simulator, Beyond The Limits"
all-games,raw-tag,Driving,4,0,4,4,"Without A Hitch, Drag Racing 3D: Streets 2, Responding"
all-games,raw-tag,Narrative,4,0,4,4,"アニマロイドガール, Big Dig, Refrain: Verse of Fate"
all-games,raw-tag,Twin Stick Shooter,4,0,4,4,"WoofWatch, Rockhounds, DUMPLing"
all-games,raw-tag,Aliens,1,3,-2,4,"Piroot, Galactic Heroes: The Enchanted Forest, Cosmic Gold Rush"
all-games,raw-tag,Colony Sim,3,1,2,4,"Crown of Greed, GlagStone, All Roads Connected"
all-games,raw-tag,Destruction,1,3,-2,4,"Extreme Forklifting 3, Plucked Up, Super Chaos"
all-games,raw-tag,Dragons,3,1,2,4,"Tears of Adria, Undead Tide: Light's Defense, 热血屠龙"
all-games,raw-tag,Logic,1,3,-2,4,"PatchWorld, Pathways & Poltergeists, Blacksad: Under the Skin"
all-games,raw-tag,Military,1,3,-2,4,"FULL METAL COFFIN, 帝王霸业, Gigantes Ex Machina"
all-games,raw-tag,Modern,3,1,2,4,"Teachers. With Love and Passion., Hoverise Rebellion, Ashes of the Singularity II"
all-games,raw-tag,Auto Battler,2,2,0,4,"Golemworks, Slimes and Arrows, Atre: Dominance Wars"
all-games,raw-tag,Beat 'em up,2,2,0,4,"Super Chaos, Checkout Blitz: The Shopping Dead, Papered"
all-games,raw-tag,City Builder,2,2,0,4,"Capitaland, MonsterCare, Goldrot"
all-games,raw-tag,Metroidvania,2,2,0,4,"HYDROPUNK, Armageddon Onslaught, GRIMPS"
all-games,raw-tag,Party-Based RPG,2,2,0,4,"Valefor 2, Terrinoth®: Heroes of Descent, 废都物语重制版"
all-games,raw-tag,Runner,2,2,0,4,"Code Velocity, Hyperlane Highway, Getting Stronger"
all-games,raw-tag,Satire,2,2,0,4,"Land Of Opportunities, Monetaria, Mewseum: Film Festival"
all-games,raw-tag,Strategy RPG,2,2,0,4,"Siege of Acres, Island of Hearts, SoulTrigger"
all-games,raw-tag,4X,0,3,-3,3,"Virtualord, The Virtual Conqueror, College Basketball Manager, Grand Cru: The Wine Maker"
