dimension_type,series_type,label,label_key,group_label,adds,removes,window_net,total_moves,early_avg_net,late_avg_net,momentum_delta,sample_apps
tag,raw-tag,6DOF,6dof,Other,0,2,-2,2,0.0000,-0.2500,-0.2500,"Neolithic Dawn, AI.VI"
tag,raw-tag,Abstract,abstract,Other,4,6,-2,10,0.5000,-0.2500,-0.7500,"Kaz, DopePie Survivors 3D, EONIA Revelations"
tag,raw-tag,Action,action,Action & Combat,24,31,-7,55,-0.2500,-0.7500,-0.5000,"Giant’s Heart, Hello World, Kleopatra"
tag,raw-tag,Action Roguelike,action roguelike,Other,10,12,-2,22,0.5000,-0.2500,-0.7500,"Kleopatra, Siege of Acres, Super Chaos"
tag,raw-tag,Action RPG,action rpg,Other,8,9,-1,17,0.2500,-0.5000,-0.7500,"The Secret Story Night Shift, Dungeonfall, Law of Demons"
tag,raw-tag,Action RTS,action rts,Other,1,1,0,2,0.0000,-0.2500,-0.2500,"Space Tales, Ashes of the Singularity II"
tag,raw-tag,Action-Adventure,action-adventure,Action & Combat,18,25,-7,43,0.0000,-0.5000,-0.5000,"Smoking Gun, The Secret Story 1996, ワンコワンコ大作戦"
tag,raw-tag,Adventure,adventure,Adventure & Story,27,34,-7,61,-0.5000,-0.5000,0.0000,"Alder Forge 2, Caribbean Tide, PatchWorld"
tag,raw-tag,Agriculture,agriculture,Other,2,4,-2,6,0.0000,-0.2500,-0.2500,"Souls of the Dead, My Heaven's Dale, Raccoon Valley Tycoon"
tag,raw-tag,Aliens,aliens,Other,1,3,-2,4,-0.2500,-0.5000,-0.2500,"Piroot, Galactic Heroes: The Enchanted Forest, Cosmic Gold Rush"
tag,raw-tag,Alternate History,alternate history,Other,1,1,0,2,0.0000,0.2500,0.2500,"FULL METAL COFFIN, Ashes of the Singularity II"
tag,raw-tag,Ambient,ambient,Other,1,0,1,1,0.0000,0.2500,0.2500,PomoTrain: Rabbit Town
tag,raw-tag,America,america,Other,1,0,1,1,0.0000,0.0000,0.0000,Speakeasy Simulator
tag,raw-tag,Anime,anime,Other,4,3,1,7,0.0000,-0.5000,-0.5000,"Super Serious Golf, BioMech Vendetta, DopePie Survivors 3D"
tag,raw-tag,Arcade,arcade,Action & Combat,19,5,14,24,0.7500,0.7500,0.0000,"Fright Train, Hakimi Blaster - Hakimi Survivors, Kleopatra"
tag,raw-tag,Archery,archery,Other,0,1,-1,1,0.0000,0.0000,0.0000,IRON SHADOW : Survival Protocol
tag,raw-tag,Arena Shooter,arena shooter,Other,5,1,4,6,0.0000,0.2500,0.2500,"Super Chaos, Sphere Fight, Bamboozle"
tag,raw-tag,Artificial Intelligence,artificial intelligence,Tech & AI,15,10,5,25,-0.2500,1.5000,1.7500,"Clair Obscur: Expedition 33, PatchWorld, ワンコワンコ大作戦"
tag,raw-tag,Asynchronous Multiplayer,asynchronous multiplayer,Other,2,1,1,3,0.0000,0.2500,0.2500,"Hello World, DopeNet, Valefor 2"
tag,raw-tag,Atmospheric,atmospheric,Atmosphere & Horror,30,16,14,46,0.7500,1.7500,1.0000,"Caribbean Tide, Race Jam, The Secret Story Night Shift"
tag,raw-tag,Auto Battler,auto battler,Other,2,2,0,4,0.2500,0.0000,-0.2500,"Golemworks, Slimes and Arrows, Atre: Dominance Wars"
tag,raw-tag,Automation,automation,Other,4,1,3,5,0.0000,0.0000,0.0000,"Machine Mind, Drop Not Allowed, Pathways & Poltergeists"
tag,raw-tag,Automobile Sim,automobile sim,Other,2,1,1,3,0.2500,0.0000,-0.2500,"Responding, One more time, Speed Boom"
tag,raw-tag,Base Building,base building,Other,8,5,3,13,-0.2500,0.7500,1.0000,"Hello World, Siege of Acres, Habitat Toxica"
tag,raw-tag,Battle Royale,battle royale,Other,2,1,1,3,0.2500,0.2500,0.0000,"ALTERA, One more time"
tag,raw-tag,Beat 'em up,beat 'em up,Other,2,2,0,4,0.2500,0.0000,-0.2500,"Super Chaos, Checkout Blitz: The Shopping Dead, Papered"
tag,raw-tag,Bikes,bikes,Other,0,1,-1,1,0.0000,-0.2500,-0.2500,Beat For Speed
tag,raw-tag,Birds,birds,Other,1,0,1,1,0.0000,0.0000,0.0000,Feathers Fallout
tag,raw-tag,Board Game,board game,Other,1,2,-1,3,0.0000,0.2500,0.2500,"Puzzle Car, Mega Deal Card, Fine Dying"
tag,raw-tag,Boomer Shooter,boomer shooter,Other,3,0,3,3,0.2500,0.2500,0.0000,"Thug Life, GRIMPS, Ninja Vs Bomb"
tag,raw-tag,Boss Rush,boss rush,Other,0,1,-1,1,0.0000,0.0000,0.0000,Anime FPS: Guns vs Magic
